Start,Boss,Rate(frame),最大キャラ ,一回ごとのキャラ ,"キャラID（以降もキャラID, 同じ番号が増えれば確率調整できる）  ",,,,,,,,,,,
1,FALSE,2000,5,1,18,,,,,,,,,,,
1,FALSE,1900,5,1,18,,,,,,,,,,,
2,FALSE,1900,5,1,18,18,18,19,,,,,,,,
3,FALSE,1800,5,1,19,,,,,,,,,,,
3,FALSE,1800,5,1,18,19,19,,,,,,,,,
4,FALSE,1800,6,1,19,,,,,,,,,,,
5,TRUE,-1,0,0,20,,,,,,,,,,,
6,FALSE,1800,1,1,26,8,8,8,8,8,8,8,8,8,8,8
6,FALSE,1800,5,1,24,8,,,,,,,,,,
7,FALSE,1700,5,1,24,24,24,8,,,,,,,,
8,FALSE,1700,5,1,24,24,25,,,,,,,,,
9,FALSE,1700,6,2,24,25,,,,,,,,,,
10,TRUE,-1,0,0,1,2,3,,,,,,,,,
11,FALSE,1700,5,1,24,25,,,,,,,,,,
11,FALSE,1700,5,1,26,24,24,24,24,24,24,25,25,25,25,25
12,FALSE,1700,5,1,1,2,3,3,,,,,,,,
13,FALSE,1600,6,2,1,1,1,2,,,,,,,,
14,FALSE,1600,6,2,1,1,2,,,,,,,,,
15,TRUE,-1,0,0,2,2,3,,,,,,,,,
16,FALSE,1600,1,1,26,3,3,3,3,3,3,3,3,3,3,3
16,FALSE,1600,14,3,2,3,,,,,,,,,,
17,FALSE,1600,14,3,3,,,,,,,,,,,
18,FALSE,1600,14,3,3,,,,,,,,,,,
19,FALSE,1500,15,1,1,1,1,4,,,,,,,,
20,TRUE,-1,0,0,2,2,2,1,1,4,,,,,,
21,FALSE,1600,1,1,26,3,3,3,3,3,3,3,3,3,3,3
21,FALSE,1500,15,4,1,,,,,,,,,,,
22,FALSE,1500,15,4,1,1,2,,,,,,,,,
23,FALSE,1500,15,5,2,,,,,,,,,,,
24,FALSE,1500,15,5,2,2,1,,,,,,,,,
25,TRUE,-1,0,0,2,2,4,,,,,,,,,
26,FALSE,1600,1,1,26,3,3,3,3,3,3,3,3,3,3,3
26,FALSE,1500,15,5,1,,,,,,,,,,,
27,FALSE,1500,15,5,1,1,2,,,,,,,,,
28,FALSE,1500,15,2,2,,,,,,,,,,,
29,FALSE,1500,15,3,1,,,,,,,,,,,
30,TRUE,-1,0,0,4,,,,,,,,,,,
31,FALSE,1600,1,1,26,3,3,3,3,3,3,3,3,3,3,3
31,FALSE,1500,15,5,1,,,,,,,,,,,
32,FALSE,1500,15,5,1,1,2,,,,,,,,,
33,FALSE,1500,15,2,2,,,,,,,,,,,
34,FALSE,1500,15,3,1,,,,,,,,,,,
35,TRUE,-1,0,0,4,,,,,,,,,,,
36,FALSE,1600,1,1,26,3,3,3,3,3,3,3,3,3,3,3
36,FALSE,1500,15,5,1,,,,,,,,,,,
37,FALSE,1500,15,5,1,1,2,,,,,,,,,
38,FALSE,1500,15,2,2,,,,,,,,,,,
39,FALSE,1500,15,3,1,,,,,,,,,,,
40,TRUE,-1,0,0,4,,,,,,,,,,,
41,FALSE,1600,1,1,26,3,3,3,3,3,3,3,3,3,3,3
41,FALSE,1500,15,5,1,,,,,,,,,,,
42,FALSE,1500,15,5,1,1,2,,,,,,,,,
43,FALSE,1500,15,2,2,,,,,,,,,,,
44,FALSE,1500,15,3,1,,,,,,,,,,,
45,TRUE,-1,0,0,4,,,,,,,,,,,
46,FALSE,1600,1,1,26,3,3,3,3,3,3,3,3,3,3,3
46,FALSE,1500,15,5,1,,,,,,,,,,,
47,FALSE,1500,15,5,1,1,2,,,,,,,,,
48,FALSE,1500,15,2,2,,,,,,,,,,,
49,FALSE,1500,15,3,1,,,,,,,,,,,
50,TRUE,-1,0,0,4,,,,,,,,,,,
End,,,,,,,,,,,,,,,,
